voltaje,angulo
0.07155600000000002,0
0.07129360000000001,2
0.07091680000000003,4
0.06994480000000002,6
0.06866240000000003,8
0.067396,10
0.06560720000000002,12
0.06304480000000001,14
0.05953920000000001,16
0.058096800000000004,18
0.0550424,20
0.053916000000000006,22
0.0502784,24
0.04799999999999999,26
0.04529279999999999,28
0.04357839999999999,30
0.040311999999999994,32
0.0399664,34
0.0372976,36
0.03570240000000001,38
0.0341272,40
0.033664000000000006,42
0.0333176,44
0.033102400000000004,46
0.033305600000000005,48
0.0335888,50
0.035129600000000004,52
0.036401600000000006,54
0.03823759999999999,56
0.039888799999999995,58
0.041920799999999994,60
0.04378239999999999,62
0.04493359999999999,64
0.047851199999999997,66
0.050172800000000004,68
0.054100800000000004,70
0.05671760000000001,72
0.05806880000000001,74
0.06092800000000001,76
0.0628424,78
0.06553680000000002,80
0.06728800000000001,82
0.06831840000000002,84
0.06916320000000002,86
0.07001920000000002,88
0.07044640000000002,90
0.07050320000000002,92
0.07011600000000001,94
0.06898640000000002,96
0.06812880000000002,98
0.06655920000000001,100
0.06511520000000001,102
0.0625832,104
0.06111680000000001,106
0.058114400000000004,108
0.0562496,110
0.053717600000000004,112
0.05114640000000001,114
0.04893359999999999,116
0.04686159999999999,118
0.044020799999999985,120
0.0418112,122
0.039987999999999996,124
0.038036799999999996,126
0.03663520000000001,128
0.035636000000000015,130
0.03476560000000001,132
0.034435200000000006,134
0.03442960000000001,136
0.034691200000000005,138
0.03534960000000001,140
0.036448,142
0.0378264,144
0.039728,146
0.0412288,148
0.043779999999999986,150
0.04580399999999999,152
0.04813119999999999,154
0.0497416,156
0.0527608,158
0.05582720000000001,160
0.05803280000000001,162
0.05977520000000001,164
0.06193840000000001,166
0.063096,168
0.06607120000000002,170
0.06758000000000002,172
0.06832800000000001,174
0.06917520000000002,176
0.06952080000000001,178
0.06952080000000001,180
0.06862320000000002,182
0.06819040000000003,184
0.06651200000000002,186
0.06511120000000002,188
0.06251760000000002,190
0.060834400000000004,192
0.058976,194
0.05590560000000001,196
0.053876,198
0.0521472,200
0.04937919999999999,202
0.04573359999999999,204
0.04392159999999999,206
0.04206959999999999,208
0.0392408,210
0.0370968,212
0.03534320000000001,214
0.033800800000000006,216
0.032597600000000004,218
0.031192000000000008,220
0.030408800000000007,222
0.030316000000000003,224
0.0305928,226
0.031181600000000004,228
0.03242400000000001,230
0.03352720000000001,232
0.0343984,234
0.0371528,236
0.0398008,238
0.04117199999999999,240
0.04389999999999999,242
0.04506799999999999,244
0.04770719999999999,246
0.0505912,248
0.054108,250
0.05768960000000001,252
0.059589600000000006,254
0.06253280000000001,256
0.06333120000000002,258
0.0653712,260
0.06680720000000001,262
0.06787440000000002,264
0.06855840000000002,266
0.06897360000000002,268
0.06898880000000002,270
0.06867680000000001,272
0.06808640000000002,274
0.06750640000000001,276
0.0662472,278
0.06460240000000002,280
0.06220800000000001,282
0.060005600000000006,284
0.05799120000000001,286
0.05560720000000001,288
0.053903200000000005,290
0.05134559999999999,292
0.048295199999999996,294
0.04571599999999999,296
0.04384879999999999,298
0.0401648,300
0.0375352,302
0.035660800000000006,304
0.03430320000000001,306
0.0323864,308
0.031009600000000002,310
0.030352800000000003,312
0.030173600000000005,314
0.030184000000000002,316
0.0303408,318
0.031077600000000007,320
0.032230400000000006,322
0.03395360000000001,324
0.03452320000000001,326
0.0371744,328
0.039794399999999994,330
0.04269999999999999,332
0.044390399999999997,334
0.04694959999999999,336
0.049811999999999995,338
0.0522856,340
0.05533760000000001,342
0.05795520000000001,344
0.060794400000000005,346
0.063148,348
0.06517840000000001,350
0.06736320000000001,352
0.06847360000000001,354
0.06989360000000001,356
0.07075920000000001,358
