voltaje,angulo
0.0032183999999999997,0
0.006484,10
0.011863999999999998,20
0.014984,30
0.0149392,40
0.012003199999999999,50
0.0072144,60
0.0034816,70
0.0018576,80
0.0028960000000000006,90
0.006108799999999999,100
0.011524799999999998,110
0.013291200000000001,120
0.0132976,130
0.010804799999999998,140
0.006142399999999999,150
0.0031144,160
0.0018272000000000002,170
0.0037112,180
0.0062304000000000005,190
0.011787999999999998,200
0.014457600000000003,210
0.0139656,220
0.011153599999999998,230
0.006396,240
0.0029832,250
0.0018472000000000002,260
0.0034752000000000003,270
0.0069864,280
0.011949599999999998,290
0.015625600000000003,300
0.015961600000000003,310
0.0124488,320
0.008008800000000002,330
0.0042304000000000005,340
0.0018800000000000004,350
