voltaje,angulo
0.0032432000000000003,0
0.004016800000000001,2
0.005003199999999999,4
0.00588,6
0.0065792,8
0.007748000000000001,10
0.0087144,12
0.0097976,14
0.010137599999999998,16
0.0107152,18
0.0122016,20
0.013140800000000001,22
0.013755200000000002,24
0.014448000000000003,26
0.015082400000000001,28
0.015592800000000002,30
0.015723200000000003,32
0.015803200000000003,34
0.015792800000000003,36
0.015685600000000004,38
0.015387200000000002,40
0.014768800000000002,42
0.014131999999999999,44
0.013459200000000001,46
0.0124992,48
0.011614399999999999,50
0.010532799999999998,52
0.010071999999999998,54
0.009212,56
0.0078248,58
0.006608,60
0.0060776,62
0.005681599999999999,64
0.0047552,66
0.004186400000000001,68
0.0032,70
0.0026720000000000003,72
0.0022064000000000007,74
0.0019952000000000004,76
0.0018472000000000002,78
0.0017640000000000002,80
0.0017840000000000004,82
0.0018832,84
0.0021048000000000004,86
0.0024768,88
0.0032656,90
0.0037064000000000008,92
0.004468000000000001,94
0.005593599999999999,96
0.006298399999999999,98
0.006893600000000001,100
0.008045600000000002,102
0.0088664,104
0.009888,106
0.0099896,108
0.010688799999999998,110
0.011647999999999999,112
0.0122864,114
0.013082400000000001,116
0.0137376,118
0.0140704,120
0.0142608,122
0.014354400000000002,124
0.0142624,126
0.0141376,128
0.013874400000000002,130
0.0130816,132
0.0126392,134
0.011868799999999999,136
0.010863999999999999,138
0.010149599999999998,140
0.0099528,142
0.0092216,144
0.008100000000000003,146
0.0074696,148
0.0062288,150
0.005611199999999999,152
0.0048536000000000004,154
0.0040128,156
0.0028752000000000005,158
0.0023280000000000006,160
0.0020960000000000006,162
0.0019232000000000003,164
0.0018208000000000002,166
0.0018424000000000003,168
0.0018952,170
0.0020256000000000002,172
0.0022112000000000004,174
0.0029360000000000007,176
0.0036584000000000005,178
0.0045224,180
0.005451999999999999,182
0.0060376,184
0.0066632,186
0.008164800000000002,188
0.0094016,190
0.0099288,192
0.0102128,194
0.011280799999999999,196
0.012470400000000001,198
0.013263999999999998,200
0.014255200000000003,202
0.014769600000000003,204
0.015256800000000004,206
0.015699200000000003,208
0.015874400000000004,210
0.015887200000000004,212
0.015894400000000003,214
0.0158264,216
0.015548000000000001,218
0.0148632,220
0.014256,222
0.013680000000000001,224
0.0126464,226
0.011752799999999999,228
0.010454399999999999,230
0.010032,232
0.009428799999999998,234
0.008340800000000002,236
0.0072872,238
0.006008799999999999,240
0.006003199999999999,242
0.0052344,244
0.004116000000000001,246
0.0033543999999999996,248
0.0024000000000000007,250
0.0021400000000000004,252
0.0019072000000000002,254
0.0018248000000000006,256
0.0017904000000000004,258
0.0019104000000000002,260
0.0019832,262
0.0021848000000000006,264
0.0028096,266
0.0037184000000000006,268
0.004451200000000001,270
0.005675999999999999,272
0.0061183999999999995,274
0.006506399999999999,276
0.008104800000000002,278
0.0097008,280
0.010095199999999999,282
0.011094399999999997,284
0.0125624,286
0.013010400000000002,288
0.013824799999999998,290
0.0147,292
0.015607200000000003,294
0.016085600000000002,296
0.016380800000000004,298
0.016873600000000006,300
0.017300800000000005,302
0.017332000000000004,304
0.017272800000000005,306
0.017022400000000004,308
0.016554400000000004,310
0.016120000000000006,312
0.015776800000000004,314
0.0150752,316
0.014312,318
0.0129184,320
0.0118736,322
0.0104584,324
0.009996799999999998,326
0.0091256,328
0.007828,330
0.0068671999999999995,332
0.006139999999999999,334
0.0055384,336
0.004462400000000001,338
0.0036688000000000003,340
0.0028840000000000003,342
0.0022976000000000008,344
0.0019904000000000002,346
0.0018504,348
0.0018048000000000003,350
0.0018656000000000002,352
0.0019656000000000005,354
0.0021112000000000006,356
0.0025832,358
