vuelta,tiempo_us,voltaje_V
74,108942070.0,0.705923568
74,108964807.0,0.664834
74,108987316.0,0.609192
74,109009802.0,0.55198896
74,109032410.0,0.4867292
74,109054940.0,0.435165936
74,109077604.0,0.39080336
74,109100186.0,0.3803296
74,109122724.0,0.3626047
74,109145256.0,0.381135268
74,109167915.0,0.415024
74,109190398.0,0.47625544
74,109212987.0,0.5229847
74,109235532.0,0.5866331
74,109258077.0,0.64388644
74,109280655.0,0.70431216
74,109303242.0,0.7349279
74,109325779.0,0.7381506
74,109348322.0,0.76312652
74,109370896.0,0.7486244
74,109393434.0,0.6962554
74,109415955.0,0.6422751
74,109438509.0,0.6027466
74,109461029.0,0.5237903
74,109483609.0,0.47061568
74,109506241.0,0.42549784
74,109528850.0,0.38194096
74,109551466.0,0.371467136
74,109574114.0,0.38355228
74,109596711.0,0.412606968
74,109619352.0,0.452085152
74,109642014.0,0.51009384
74,109664598.0,0.57213084
74,109687185.0,0.6358297
74,109709729.0,0.6881986
74,109732266.0,0.7236484
74,109754790.0,0.7510414
74,109777343.0,0.76312652
74,109799918.0,0.7558755
74,109822480.0,0.7163973
74,109845020.0,0.6616113
74,109867572.0,0.61805444
74,109890163.0,0.5552117
74,109912721.0,0.489951936
74,109935366.0,0.4367773
74,109957914.0,0.39966584
74,109980489.0,0.37468984
74,110003075.0,0.37630124
74,110025689.0,0.38999772
74,110048333.0,0.451279468
74,110071027.0,0.47625544
74,110093632.0,0.5366811
74,110116177.0,0.60355232
74,110138764.0,0.6720851
74,110161308.0,0.7123689
74,110183865.0,0.753458436
74,110206516.0,0.752652736
74,110229173.0,0.7615152
74,110251723.0,0.7252598
74,110274262.0,0.6930327
74,110296817.0,0.6358297
74,110319375.0,0.579382
74,110341850.0,0.5262074
74,110364385.0,0.45853056
74,110386979.0,0.41744108
74,110409571.0,0.39483176
74,110432158.0,0.37871824
74,110454744.0,0.386775
74,110477218.0,0.419052432
74,110499878.0,0.467392984
74,110522537.0,0.5044541
74,110545078.0,0.57051956
74,110567698.0,0.6382467
74,110590295.0,0.68578168
74,110612902.0,0.72687112
74,110635504.0,0.7590982
74,110658042.0,0.74701304
74,110680641.0,0.73009384
75,110703231.0,0.70995192
75,110725824.0,0.6616113
75,110748378.0,0.6027466
75,110770924.0,0.5423209
75,110793483.0,0.4730327
75,110816033.0,0.44161136
75,110838630.0,0.39160908
75,110861218.0,0.36905012
75,110883811.0,0.3666331
75,110906371.0,0.3932204
75,110928895.0,0.41744108
75,110951486.0,0.452085152
75,110974148.0,0.5294301
75,110996693.0,0.59468984
75,111019263.0,0.6495262
75,111041804.0,0.70995192
75,111064389.0,0.7373449
75,111086939.0,0.75668116
75,111109542.0,0.76796068
75,111132179.0,0.73331656
75,111154815.0,0.69544976
75,111177402.0,0.63663536
75,111200007.0,0.55037768
75,111222586.0,0.50848248
75,111245176.0,0.46175324
75,111267761.0,0.414218332
75,111290422.0,0.39805448
75,111312985.0,0.37066148
75,111335572.0,0.38838636
75,111358160.0,0.41663536
75,111380760.0,0.45853056
75,111403354.0,0.5181506
75,111425902.0,0.58421608
75,111448490.0,0.63985808
75,111471074.0,0.6914214
75,111493613.0,0.735733568
75,111516271.0,0.7486244
75,111538796.0,0.7558755
75,111561347.0,0.7486244
75,111583867.0,0.70914624
75,111606469.0,0.6656397
75,111629006.0,0.6116091
75,111651595.0,0.5455436
75,111674182.0,0.481895168
75,111696886.0,0.4464454
75,111719432.0,0.3932204
75,111741962.0,0.37710688
75,111764555.0,0.3803296
75,111787097.0,0.39483176
75,111809677.0,0.427914836
75,111832324.0,0.489951936
75,111854976.0,0.55601732
75,111877553.0,0.6293843
75,111900085.0,0.6696681
75,111922629.0,0.7139803
75,111945178.0,0.7639323
75,111967738.0,0.753458436
75,111990381.0,0.7510414
75,112012910.0,0.722842736
75,112035568.0,0.6817533
75,112058115.0,0.6277729
75,112080656.0,0.5729366
75,112103193.0,0.5173449
75,112125734.0,0.47222708
75,112148325.0,0.41824672
75,112170916.0,0.39160908
75,112193540.0,0.384358
75,112216077.0,0.40127716
75,112238699.0,0.420663736
75,112261356.0,0.46255892
75,112283947.0,0.522179
75,112306423.0,0.57777068
75,112328990.0,0.6422751
75,112351543.0,0.687393
75,112374036.0,0.73331656
75,112396623.0,0.7615152
75,112419165.0,0.7478187
76,112441726.0,0.742179
