vuelta,tiempo_us,voltaje_V
1655,-213097975.0,0.44483404
1655,-213075343.0,0.42388648
1655,-213052734.0,0.3932204
1655,-213030183.0,0.356965
1655,-213007456.0,0.3158755
1655,-212984906.0,0.27962004
1655,-212962283.0,0.25625542
1655,-212939688.0,0.23208516
1655,-212917087.0,0.236919216
1655,-212894410.0,0.24578164
1655,-212871799.0,0.25222704
1655,-212849207.0,0.274786
1655,-212826705.0,0.32070952
1655,-212804114.0,0.36179904
1655,-212781510.0,0.39724876
1655,-212758915.0,0.4335546
1655,-212736371.0,0.44886244
1655,-212713782.0,0.4665873
1655,-212691219.0,0.47625544
1655,-212668630.0,0.45530784
1655,-212646042.0,0.4367773
1655,-212623484.0,0.39483176
1655,-212600877.0,0.3658274
1655,-212578339.0,0.33198902
1655,-212555711.0,0.29734492
1655,-212533116.0,0.26189516
1655,-212510522.0,0.2433646
1655,-212487981.0,0.22483406
1655,-212465358.0,0.23611354
1655,-212442767.0,0.25544976
1655,-212420170.0,0.27881438
1655,-212397561.0,0.31345844
1655,-212374948.0,0.348908232
1655,-212352289.0,0.38516364
1655,-212329689.0,0.42146944
1655,-212307102.0,0.44563972
1655,-212284495.0,0.4681987
1655,-212261943.0,0.46497596
1655,-212239336.0,0.4633646
1655,-212216794.0,0.44725108
1655,-212194184.0,0.41663536
1655,-212171587.0,0.38516364
1655,-212148972.0,0.348908232
1655,-212126310.0,0.30540168
1655,-212103706.0,0.27559168
1655,-212081129.0,0.24739298
1655,-212058515.0,0.23289082
1655,-212035905.0,0.23450216
1655,-212013312.0,0.2433646
1655,-211990775.0,0.26431218
1655,-211968160.0,0.29412222
1655,-211945553.0,0.33440602
1655,-211922940.0,0.3698558
1655,-211900398.0,0.4077226
1655,-211877852.0,0.4464454
1655,-211855323.0,0.46094756
1655,-211832709.0,0.47142136
1655,-211810119.0,0.47222708
1655,-211787513.0,0.45772488
1655,-211764905.0,0.43194324
1655,-211742295.0,0.4028885
1655,-211719741.0,0.3634104
1655,-211697026.0,0.33118334
1655,-211674416.0,0.2917052
1655,-211651860.0,0.26592352
1655,-211629264.0,0.24658732
1655,-211606684.0,0.23853054
1655,-211584077.0,0.24014192
1655,-211561472.0,0.2538384
1655,-211538938.0,0.28525978
1655,-211516329.0,0.32151524
1655,-211493751.0,0.35777064
1655,-211471151.0,0.3827466
1655,-211448613.0,0.4222751
1655,-211426054.0,0.4504738
1655,-211403508.0,0.46497596
1655,-211380898.0,0.47142136
1655,-211358293.0,0.4633646
1656,-211335732.0,0.43919432
1656,-211313127.0,0.419052432
1656,-211290436.0,0.38838636
1656,-211267812.0,0.350519536
1656,-211245149.0,0.31265276
1656,-211222542.0,0.27559168
1656,-211199951.0,0.24578164
1656,-211177321.0,0.23530784
1656,-211154715.0,0.23289082
1656,-211132101.0,0.24819868
1656,-211109509.0,0.26672924
1656,-211086911.0,0.2949279
1656,-211064337.0,0.33360036
1656,-211041728.0,0.36824448
1656,-211019130.0,0.4069169
1656,-210996562.0,0.43919432
1656,-210973957.0,0.4536965
1656,-210951398.0,0.4641703
1656,-210928828.0,0.467392984
1656,-210906146.0,0.4536965
1656,-210883570.0,0.4295262
1656,-210861025.0,0.38999772
1656,-210838414.0,0.365021732
1656,-210815738.0,0.32312656
1656,-210793119.0,0.2876768
1656,-210770562.0,0.25867244
1656,-210747943.0,0.244975968
1656,-210725277.0,0.21838864
1656,-210702668.0,0.236919216
1656,-210679969.0,0.25786676
1656,-210657375.0,0.28042572
1656,-210634774.0,0.32070952
1656,-210612176.0,0.35857632
1656,-210589594.0,0.39886012
1656,-210566975.0,0.42630348
1656,-210544384.0,0.46900432
1656,-210521791.0,0.46900432
1656,-210499203.0,0.46981004
1656,-210476587.0,0.46900432
1656,-210454001.0,0.44563972
1656,-210431384.0,0.414218332
1656,-210408722.0,0.38194096
1656,-210386109.0,0.340045784
1656,-210363429.0,0.304596
1656,-210340918.0,0.26592352
1656,-210318332.0,0.23933622
1656,-210295699.0,0.23047378
1656,-210273083.0,0.23047378
1656,-210250460.0,0.24255892
1656,-210227863.0,0.27075762
1656,-210205252.0,0.29734492
1656,-210182649.0,0.33762876
1656,-210160026.0,0.3795239
1656,-210137472.0,0.42146944
1656,-210114860.0,0.44241704
1656,-210092248.0,0.4641703
1656,-210069690.0,0.4730327
1656,-210047134.0,0.47222708
1656,-210024532.0,0.451279468
1656,-210001869.0,0.427109168
1656,-209979186.0,0.39886012
1656,-209956570.0,0.3384344
1656,-209934019.0,0.32232088
1656,-209911392.0,0.2876768
1656,-209888837.0,0.26189516
1656,-209866244.0,0.25222704
1656,-209843643.0,0.236919216
1656,-209820951.0,0.24819868
1656,-209798360.0,0.2675349
1656,-209775808.0,0.29412222
1656,-209753184.0,0.3247379
1656,-209730633.0,0.364216068
1656,-209707949.0,0.4036942
1656,-209685400.0,0.43919432
1656,-209662801.0,0.452085152
1656,-209640113.0,0.47061568
1656,-209617513.0,0.47142136
1656,-209594914.0,0.46497596
1657,-209572273.0,0.4367773
