Configuración,S0,S0_err,S1,S1_err,S2,S2_err,S3,S3_err,DOP,DOP_err,v1,v1_err,v2,v2_err,v3,v3_err
6°,0.7304664793191028,0.002833601672321992,0.7304605130795959,0.004570050819637475,0.0014002811502104172,0.004579731420928478,0.002385013840185863,0.0022203649924141676,1.0,0.009727596769855518,0.9999918322884406,0.009727601937108385,0.0019169683891801246,0.006269602743194189,0.003265055834470365,0.0030396797780276696
12°,0.7039302168777093,0.0033035546305315677,0.6520972690888485,0.005327993938483251,0.26511399951262893,0.005339280082109789,0.0006914533806844191,0.0025886126247478465,1.0,0.01158334568267454,0.926366354865733,0.011446186641400867,0.3766197176313089,0.007788167846751221,0.000982275464393855,0.003677373932551568
18°,0.6940015177421179,0.0033890867923569404,0.4480634674132712,0.005465940784697099,0.5299271970588234,0.00547751907697767,-0.0073101531862886015,0.002655634258551405,1.0,0.011286901481362088,0.645623180869996,0.010646372024171305,0.7635821875186987,0.008729182824490193,-0.010533338904029545,0.0038269001358702997
24°,0.6398457353167908,0.0048561989544593604,0.24080162399953367,0.007832108640399009,0.5923992400894083,0.007848699064425082,-0.021896675981590855,0.003805239899207258,1.0,0.016310715684874424,0.3763432507373228,0.014705293947802425,0.925846977468887,0.014136647083682605,-0.034221804996089726,0.00595279210395078
22.5°,0.6485678387683881,0.004943039899678026,0.3353748707717224,0.007972166266005623,0.554961674757246,0.00798905339666063,-0.013440082221425972,0.003873287088463127,1.0,0.01703758007346825,0.5171006804910181,0.015727021811995364,0.8556725165575624,0.013937813985133767,-0.020722708432395147,0.005974151052937294
30°,0.6570376424302297,0.0046669390105659875,0.017750558506004217,0.007526868984357389,0.6561864923256493,0.007542812871148214,-0.028316163862083046,0.0036569388388107706,1.0,0.013625207789178168,0.027016044986934117,0.011616115251818144,0.9987045641686035,0.013494929582780636,-0.043096714759519913,0.005574212530774782
36°,0.7113446062134074,0.002954080895276551,-0.39540788713070735,0.004764360504499306,0.5890308396286148,0.004774452660092028,-0.05201355139148724,0.0023147705890082335,1.0,0.006021359792915516,-0.5558598233218103,0.0049423894756044215,0.8280527250556001,0.0075414979029516235,-0.07312004749479027,0.0032682173415122906
42°,0.7433511008477003,0.0030800559631914337,-0.5903283959375455,0.004967533869567491,0.44626175934779055,0.004978056450216133,-0.07023233645509307,0.0024134826407926405,1.0,0.004991898051704861,-0.7941447793167303,0.004341313356663404,0.6003377930548351,0.007143836426667741,-0.09448070551722025,0.0032702795794925265
45°,0.7406502893671008,0.0026141765376998527,-0.610259824411549,0.004216160564178408,0.4117802665524661,0.004225091545325056,-0.08112775604922047,0.002048426969407592,1.0,0.004123021563370978,-0.8239513751260763,0.003644026065089435,0.5559712491361339,0.006032652528946422,-0.10953584601789007,0.0027926088656608857
-6°,0.8443773434733525,0.0015511494132540236,0.46629435936984825,0.0025017036638682495,-0.6287443153553831,0.002507002916018142,0.011224503468060028,0.0012154558946161588,0.9271493039763777,0.004087572419434289,0.552234570212108,0.0038490472560900506,-0.7446248057403325,0.003269012146988978,0.013293231462000094,0.0014396769552917456
-12°,0.9333852382182722,0.002754348744180238,0.1050418440611378,0.004442231218310812,-0.7767533902028638,0.004451641016398438,0.013415510462831496,0.0021582636679785506,0.8398874142698857,0.005613470115095116,0.11253857438505338,0.005039279804540523,-0.8321894951816454,0.00536444765231327,0.014372961895605078,0.0023126853443432268
-18°,0.9503422538002827,0.002417124231905014,-0.19391221983736778,0.0038983533766038373,-0.7642509191088304,0.003906611104490184,0.02480263210668626,0.0018940199284902485,0.8300775540754411,0.00421720579583144,-0.20404461557080153,0.003680914456377619,-0.8041849302740147,0.00459149089634518,0.02609863131677465,0.00199409173448047
-22.5°,0.9249004198011997,0.0025329032113124653,-0.3893652926199408,0.004085082450426247,-0.6746418827017663,0.004093735719168485,0.038441782581291904,0.0019847424870620026,0.843212576557222,0.004046127226586099,-0.42098077185826327,0.0035146668346070246,-0.7294211011892235,0.00485602410683333,0.04156315832309242,0.0021489141761128847
-24°,0.9622033013827718,0.002562032411303001,-0.47975883743762576,0.004132062206571196,-0.6124164963549354,0.004140814994882584,0.03633864280688611,0.0020075676621271504,0.8094014093955152,0.003687286064135913,-0.4986044391535236,0.0032718326387551713,-0.6364730774409508,0.004625142676360102,0.037766075791534126,0.0020888487389914496
-30°,0.9178246066806185,0.0018200198199908447,-0.6750398058734447,0.0029353395515730883,-0.3865128420732309,0.0029415573973404687,0.05766994037669797,0.0014261384499861152,0.8498332946123874,0.0022933967087726305,-0.7354779997833973,0.002140953667631364,-0.4211184133220001,0.003311928039796821,0.06283329075831343,0.00155881100823849
-36°,0.8631551657299324,0.002469302259422098,-0.7496271024554876,0.003982506404147765,-0.16901971546375846,0.003990942432700077,0.07454496428196924,0.0019349057964593967,0.8944541545516658,0.002929642740007087,-0.8684731693884504,0.002891542578667173,-0.1958161431158509,0.004657479038805249,0.08636334142648598,0.002255238310583713
-42°,0.7903784903821688,0.0027095086838439656,-0.7198430071781593,0.004369912859253603,0.25424778529196923,0.004379169517243646,0.09468754494113805,0.002123127713778201,0.9732975370692444,0.0035518824193362846,-0.910757334539932,0.003399239559321887,0.3216785228669795,0.005649273165401458,0.11980025531230504,0.002717426146236441
-45°,0.7264053188953263,0.0027858964769202606,-0.5673120359594898,0.004493111576117539,0.4436552153227751,0.004502629205319125,0.09482505519018142,0.002182983966252636,0.9999999999999993,0.004658418291125935,-0.7809855203458916,0.004044995947374267,0.6107543595598383,0.006626320676775761,0.13054014435685257,0.0030465995827417777
