vuelta,tiempo_us,voltaje_V
2042,-97809949.0,0.051563284
2042,-97787353.0,0.08379034
2042,-97764820.0,0.1361593
2043,-97742235.0,0.19497368
2043,-97719645.0,0.2441703
2043,-97697100.0,0.28928816
2043,-97674509.0,0.32634926
2043,-97651868.0,0.34649116
2043,-97629221.0,0.3456855
2043,-97606619.0,0.33682304
2043,-97584001.0,0.30701304
2043,-97561402.0,0.25303274
2043,-97538788.0,0.19900206
2043,-97516182.0,0.14341038
2043,-97493576.0,0.084596016
2043,-97470996.0,0.046729224
2043,-97448394.0,0.0193362308
2043,-97425709.0,0.011279469
2043,-97403083.0,0.030615702
2043,-97380487.0,0.05317464
2043,-97357933.0,0.10393225
2043,-97335329.0,0.16435798
2043,-97312703.0,0.23289082
2043,-97290104.0,0.29895628
2043,-97267489.0,0.36099336
2043,-97244894.0,0.4134127
2043,-97222333.0,0.44241704
2043,-97199736.0,0.44886244
2043,-97177132.0,0.438388616
2043,-97154463.0,0.41582972
2043,-97131856.0,0.36179904
2043,-97109229.0,0.30217898
2043,-97086542.0,0.23289082
2043,-97063890.0,0.166775
2043,-97041390.0,0.11279469
2043,-97018758.0,0.06445411
2043,-96996221.0,0.0443122
2043,-96973723.0,0.022558938
2043,-96951112.0,0.028198672
2043,-96928503.0,0.061231404
2043,-96905908.0,0.094264136
2043,-96883294.0,0.14663309
2043,-96860693.0,0.19980774
2043,-96838071.0,0.2514214
2043,-96815540.0,0.29653924
2043,-96792949.0,0.34165712
2043,-96770362.0,0.340851468
2043,-96747691.0,0.35132524
2043,-96725101.0,0.340851468
2043,-96702422.0,0.29653924
2043,-96679835.0,0.2514214
2043,-96657282.0,0.200613416
2043,-96634620.0,0.13777066
2043,-96612002.0,0.08298466
2043,-96589469.0,0.047534904
2043,-96566811.0,0.0185305568
2043,-96544066.0,0.020141908
2043,-96521425.0,0.020947584
2043,-96498829.0,0.0725108736
2043,-96476161.0,0.10715495
2043,-96453544.0,0.15871824
2043,-96430948.0,0.22
2043,-96408474.0,0.30943006
2043,-96385874.0,0.36905012
2043,-96363280.0,0.40852828
2043,-96340679.0,0.44
2043,-96318206.0,0.435971616
2043,-96295525.0,0.414218332
2043,-96272851.0,0.4004715
2043,-96250287.0,0.35857632
2043,-96227710.0,0.29573356
2043,-96205106.0,0.22805678
2043,-96182497.0,0.16355228
2043,-96159900.0,0.10715495
2043,-96137278.0,0.061231404
2043,-96114673.0,0.029810024
2043,-96092072.0,0.02175326
2043,-96069535.0,0.030615702
2044,-96046888.0,0.049951932
