vuelta,tiempo_us,voltaje_V
947,203314190.0,0.3392401
947,203336752.0,0.37630124
947,203359366.0,0.386775
947,203381866.0,0.37871824
947,203404460.0,0.3698558
947,203427001.0,0.34165712
947,203449607.0,0.3110414
947,203472132.0,0.2715633
947,203494677.0,0.233696492
947,203517351.0,0.20544746
947,203539957.0,0.184499884
947,203562611.0,0.15710689
947,203585226.0,0.15227284
947,203607801.0,0.15791256
947,203630396.0,0.17563744
947,203652977.0,0.20222476
947,203675561.0,0.23530784
947,203698130.0,0.25303274
947,203720740.0,0.30217898
947,203743344.0,0.33118334
947,203765952.0,0.35454796
947,203788539.0,0.37066148
947,203811117.0,0.36018768
947,203833692.0,0.35454796
947,203856296.0,0.3255436
947,203878821.0,0.29089952
947,203901410.0,0.25867244
947,203924002.0,0.2167773
947,203946548.0,0.17805446
947,203969151.0,0.15468985
947,203991761.0,0.12810254
947,204014353.0,0.1297139
947,204036903.0,0.1297139
947,204059448.0,0.14905013
947,204082067.0,0.1772488
947,204104600.0,0.21274892
947,204127185.0,0.2514214
947,204149712.0,0.29573356
947,204172302.0,0.33037764
947,204194912.0,0.3626047
947,204217463.0,0.38838636
947,204240060.0,0.39241476
947,204262653.0,0.38838636
947,204285241.0,0.36905012
947,204307829.0,0.34326848
947,204330422.0,0.30620736
947,204353020.0,0.27800868
947,204375579.0,0.23933622
947,204398180.0,0.19900206
947,204420787.0,0.166775
947,204443277.0,0.1595239
947,204465819.0,0.15468985
947,204488431.0,0.16435798
947,204511034.0,0.17886014
947,204533658.0,0.207109168
947,204556320.0,0.240947584
947,204578982.0,0.2739803
947,204601523.0,0.30298466
947,204624136.0,0.3360174
947,204646667.0,0.36018768
947,204669251.0,0.36179904
947,204691826.0,0.3626047
947,204714373.0,0.34487984
947,204736955.0,0.3158755
947,204759515.0,0.28364844
947,204782101.0,0.24981002
947,204804706.0,0.210331868
947,204827362.0,0.17966582
947,204849970.0,0.15468985
947,204872568.0,0.13051957
947,204895182.0,0.13374228
947,204917751.0,0.13535362
947,204940345.0,0.15710689
947,204962964.0,0.180471508
947,204985637.0,0.22080568
947,205008206.0,0.27075762
947,205030820.0,0.29412222
947,205053423.0,0.32312656
948,205076050.0,0.356965
948,205098769.0,0.37710688
948,205121369.0,0.3827466
948,205143898.0,0.381135268
948,205166554.0,0.365021732
948,205189222.0,0.33762876
948,205211805.0,0.30217898
948,205234405.0,0.26592352
948,205256988.0,0.233696492
948,205279645.0,0.192556652
948,205302311.0,0.172414752
948,205324965.0,0.15630122
948,205347567.0,0.15227284
948,205370140.0,0.16435798
948,205392751.0,0.1772488
948,205415275.0,0.206303484
948,205437922.0,0.24739298
948,205460527.0,0.27639736
948,205483119.0,0.30943006
948,205505717.0,0.34326848
948,205528300.0,0.36099336
948,205550875.0,0.36099336
948,205573469.0,0.364216068
948,205596135.0,0.35454796
948,205618736.0,0.31990388
948,205641322.0,0.28687114
948,205663915.0,0.24578164
948,205686502.0,0.210331868
948,205709170.0,0.17886014
948,205731775.0,0.14582742
948,205754376.0,0.13374228
948,205776968.0,0.13535362
948,205799575.0,0.1329366
948,205822109.0,0.15388418
948,205844722.0,0.176443132
948,205867376.0,0.22483406
948,205889988.0,0.26592352
948,205912570.0,0.30781874
948,205935178.0,0.33682304
948,205957778.0,0.365021732
948,205980451.0,0.38838636
948,206003032.0,0.39483176
948,206025625.0,0.3827466
948,206048159.0,0.364216068
948,206070809.0,0.33682304
948,206093394.0,0.3013733
948,206115958.0,0.26350652
948,206138533.0,0.23127946
948,206161129.0,0.19577934
948,206183723.0,0.17483176
948,206206313.0,0.14985579
948,206228906.0,0.15227284
948,206251488.0,0.16758068
948,206274067.0,0.18611124
948,206296659.0,0.21597162
948,206319268.0,0.24819868
948,206341851.0,0.28203704
948,206364443.0,0.31345844
948,206387041.0,0.3384344
948,206409562.0,0.355353632
948,206432214.0,0.3658274
948,206454733.0,0.350519536
948,206477386.0,0.33682304
948,206499975.0,0.30540168
948,206522557.0,0.27962004
948,206545160.0,0.236919216
948,206567840.0,0.20383612
948,206590433.0,0.18530556
948,206613034.0,0.14985579
948,206635646.0,0.13454795
948,206658274.0,0.1329366
948,206680795.0,0.139382
948,206703291.0,0.15549552
948,206725857.0,0.18208284
948,206748437.0,0.221611344
948,206771102.0,0.27075762
948,206793711.0,0.29653924
949,206816307.0,0.3360174
