vuelta,tiempo_us,voltaje_V
453,-384896879.0,0.5664912
453,-384874276.0,0.6124147
453,-384851703.0,0.64066376
453,-384829106.0,0.6277729
453,-384806515.0,0.63663536
453,-384783853.0,0.6003296
453,-384761272.0,0.5584344
453,-384738730.0,0.51009384
453,-384716143.0,0.44
453,-384693665.0,0.37871824
453,-384671064.0,0.329572
453,-384648581.0,0.27800868
453,-384625984.0,0.26834056
453,-384603378.0,0.2602838
453,-384580818.0,0.27720302
453,-384558221.0,0.31748684
453,-384535634.0,0.356965
453,-384512928.0,0.4134127
453,-384490372.0,0.5004257
453,-384467825.0,0.5407095
453,-384445271.0,0.59388416
454,-384422653.0,0.6269673
454,-384400080.0,0.65999996
454,-384377472.0,0.632607
454,-384354963.0,0.6309957
454,-384332409.0,0.5954955
454,-384309848.0,0.54151524
454,-384287261.0,0.47947812
454,-384264619.0,0.427109168
454,-384241880.0,0.36824448
454,-384219256.0,0.31265276
454,-384196664.0,0.28525978
454,-384174055.0,0.26672924
454,-384151469.0,0.27075762
454,-384128855.0,0.29734492
454,-384106266.0,0.3360174
454,-384083723.0,0.381135268
454,-384061051.0,0.45450216
454,-384038454.0,0.5197619
454,-384015911.0,0.576965
454,-383993407.0,0.6318013
454,-383970861.0,0.6422751
454,-383948312.0,0.6543603
454,-383925759.0,0.6269673
454,-383903191.0,0.606775
454,-383880697.0,0.5600457
454,-383858145.0,0.522179
454,-383835646.0,0.438388616
454,-383812966.0,0.37630124
454,-383790372.0,0.32715496
454,-383767765.0,0.28606544
454,-383745166.0,0.26189516
454,-383722543.0,0.2602838
454,-383699932.0,0.27800868
454,-383677312.0,0.31748684
454,-383654738.0,0.3634104
454,-383632034.0,0.42146944
454,-383609432.0,0.4867292
454,-383586878.0,0.5463493
454,-383564320.0,0.6027466
454,-383541776.0,0.63663536
454,-383519171.0,0.65355456
454,-383496566.0,0.65677724
454,-383473977.0,0.6382467
454,-383451419.0,0.5995239
454,-383428877.0,0.5479606
454,-383406348.0,0.4875349
454,-383383799.0,0.438388616
454,-383361124.0,0.36905012
454,-383338537.0,0.32715496
454,-383315929.0,0.29009384
454,-383293357.0,0.26914626
454,-383270749.0,0.28525978
454,-383248149.0,0.3158755
454,-383225589.0,0.347296868
454,-383202915.0,0.39724876
454,-383180280.0,0.46014192
454,-383157611.0,0.5237903
454,-383135019.0,0.57213084
454,-383112429.0,0.61402608
454,-383089836.0,0.63985808
454,-383067241.0,0.64388644
454,-383044630.0,0.63018996
454,-383022036.0,0.5987182
454,-382999504.0,0.549572
454,-382977019.0,0.489951936
454,-382954354.0,0.4327489
454,-382931811.0,0.37227284
454,-382909212.0,0.3392401
454,-382886653.0,0.2812314
454,-382864108.0,0.28042572
454,-382841519.0,0.26270086
454,-382818913.0,0.30217898
454,-382796309.0,0.32070952
454,-382773728.0,0.36743876
454,-382751138.0,0.42469212
454,-382728527.0,0.49236896
454,-382705928.0,0.54876624
454,-382683338.0,0.59146716
455,-382660736.0,0.64308084
