periodo,t_vuelta,voltaje,t_voltaje
,,0.2917052,9731216
,,0.6229389,9731216
,,0.41175096,9731216
,,0.20383612,9731217
,,0.61971616,9731217
,,0.56165716,9731217
,,0.5262074,9731218
,,0.7051179,9731218
,,0.7832685,9731218
,,0.8558297,9731218
,,0.7792401,9731219
,,0.94525976,9731219
,,1.0081025,9731219
,,1.70199132,9731219
,,1.68990608,9731220
,,1.6012313,9731220
,,1.7092424,9731220
,,1.5408056,9731221
,,2.1073472,9731221
,,1.7414694,9731221
,,2.0500936,9731221
,,1.4747403,9731222
,,1.91957424,9731222
,,1.8663996,9731222
,,1.6915176,9731222
,,1.07019,9731223
,,2.0799542,9731223
,,1.812369,9731223
,,0.9025589,9731224
,,1.2555458,9731224
,,1.1378668,9731224
,,1.5762554,9731224
,,0.5455436,9731225
,,1.1354496,9731225
,,1.2087664,9731225
,,0.92431224,9731226
,,0.9130327,9731226
,,0.32151524,9731226
,,0.8146899,9731226
,,0.4770611,9731227
,,0.4778668,9731227
,,0.4464454,9731227
,,0.692227,9731227
,,0.4335546,9731228
,,0.4730327,9731228
,,0.23047378,9731228
,,0.6099977,9731229
,,0.12407415,9731229
,,0.33521172,9731229
,,0.4028885,9731229
,,0.24819868,9731230
,,0.371467136,9731230
,,0.184499884,9731230
,,0.5640741,9731230
,,0.47867244,9731231
,,0.83165944,9731231
,,0.51009384,9731231
,,0.54715496,9731232
,,1.1281986,9731232
,,0.7075349,9731232
,,1.0967772,9731232
,,0.9629847,9731233
,,0.173220416,9731233
,,1.4408513,9731233
,,0.84535584,9731234
,,1.0991943,9731234
,,1.622179,9731234
,,1.73824668,9731234
,,1.955024,9731235
,,1.727773,9731235
,,1.4537926,9731235
,,1.6342641,9731235
,,1.5762554,9731236
,,1.592369,9731236
,,1.7761135,9731236
,,1.6697643,9731237
,,1.5617533,9731237
,,1.4392401,9731237
,,1.4102358,9731237
,,1.2394323,9731238
,,1.2813275,9731238
,,1.050048,9731238
,,0.9960174,9731238
,,1.1410894,9731239
,,0.9468711,9731239
,,1.3925108,9731239
,,1.352227,9731240
,,1.1128907,9731240
,,1.3538383,9731240
,,1.4948821,9731240
,,1.0411856,9731241
,,0.94445416,9731241
,,0.50525976,9731241
,,1.0217991,9731242
,,0.9517052,9731242
,,0.6720851,9731242
,,0.94525976,9731242
,,1.1427008,9731243
,,0.7607095,9731243
,,0.94525976,9731243
,,0.8534126,9731243
,,0.7389563,9731244
,,0.65758292,9731244
,,0.91544976,9731244
,,1.5472511,9731245
,,1.6818494,9731245
,,0.98715496,9731245
,,1.1249759,9731245
,,1.3965392,9731246
,,1.5311376,9731246
,,1.5472511,9731246
,,2.1379628,9731247
,,1.9356878,9731247
,,1.9421332,9731247
,,1.9284368,9731247
,,1.9936964,9731248
,,2.0380084,9731248
,,1.98322268,9731248
,,1.6463493,9731249
,,1.82848252,9731249
,,1.6423209,9731249
,,1.83815052,9731249
,,1.80350636,9731250
,,1.5150241,9731250
,,1.3570612,9731250
,,1.74872052,9731250
,,1.4594324,9731251
,,1.4795742,9731251
,,1.0734126,9731251
,,0.949288136,9731252
,,1.0217991,9731252
,,1.1128907,9731252
,,0.736539236,9731252
,,0.687393,9731253
,,0.0,9731253
,,0.79374224,9731253
,,0.876777232,9731253
,,0.1192401,9731254
,,0.89208516,9731254
,,0.42549784,9731254
,,0.28364844,9731255
,,0.60355232,9731255
,,0.61402608,9731255
,,0.8808056,9731255
,,0.6156375,9731256
,,1.0072968,9731256
,,0.85019,9731256
,,1.310332,9731257
,,1.3401419,9731257
,,1.3715633,9731257
,,1.382037,9731257
,,1.3272511,9731258
,,1.427155,9731258
,,1.4650722,9731258
,,1.70199132,9731258
,,1.8099519,9731259
,,1.7720852,9731259
,,2.152465,9731259
,,2.355546,9731260
,,2.447393,9731260
,,2.4232226,9731260
,,2.4216112,9731260
,,2.2507574,9731261
,,2.6134126,9731261
,,2.2427008,9731261
,,2.335404,9731261
,,1.5762554,9731262
,,2.0517052,9731262
,,1.97919432,9731262
,,1.434406,9731263
,,2.3652138,9731263
,,0.6680567,9731263
,,1.3490044,9731263
,,0.6712795,9731264
,,0.88161132,9731264
,,1.1120851,9731264
,,0.498814336,9731265
,,0.8413275,9731265
,,0.08217899,9731265
,,0.70028376,9731265
,,0.1023209,9731266
,,0.48350652,9731266
,,0.4536965,9731266
,,0.16758068,9731266
,,0.39563744,9731267
,,0.0773449236,9731267
,,0.4980087,9731267
,,0.233696492,9731268
,,0.36018768,9731268
,,0.1836942,9731268
,,0.117628744,9731268
,,0.03947814,9731269
,,0.047534904,9731269
,,0.29734492,9731269
,,0.4367773,9731270
,,0.53265276,9731270
,,0.30298466,9731270
,,0.435971616,9731270
,,0.6583887,9731271
,,0.722842736,9731271
,,0.876777232,9731271
,,0.9629847,9731271
,,0.72687112,9731272
,,0.87516592,9731272
,,1.4279606,9731272
,,0.57615924,9731273
,,1.572227,9731273
,,1.4594324,9731273
,,0.86791484,9731273
,,1.2853559,9731274
,,1.4182925,9731274
,,1.776919,9731274
,,1.5593363,9731274
,,1.5963973,9731275
,,1.2789105,9731275
,,1.5383886,9731275
,,1.2264912,9731276
,,1.2789105,9731276
,,0.98393224,9731276
,,1.1128907,9731276
,,0.8856397,9731277
,,1.0064912,9731277
,,0.8695262,9731277
,,1.1209475,9731278
,,0.8687205,9731278
,,0.9742641,9731278
,,0.8203296,9731278
,,0.67530787,9731279
,,0.5294301,9731279
,,0.830048,9731279
,,0.60194092,9731279
,,0.838104836,9731280
,,1.1016114,9731280
,,0.934785968,9731280
,,0.79696492,9731281
,,0.9952117,9731281
,,1.2305196,9731281
,,0.91544976,9731281
,,1.1934584,9731282
,,0.9484825,9731282
,,1.0113251,9731282
,,0.80985576,9731282
,,0.9122271,9731283
,,0.8759716,9731283
,,0.8759716,9731283
,,1.4707118,9731284
,,0.6277729,9731284
,,1.2127947,9731284
,,1.0790523,9731284
,,2.0686746,9731285
,,1.5085785,9731285
,,1.0991943,9731285
,,1.4223208,9731286
,,1.4964934,9731286
,,1.5150241,9731286
,,1.8365393,9731286
,,1.5778668,9731287
,,1.5988144,9731287
,,1.5158297,9731287
,,1.5464454,9731287
,,1.3836484,9731288
,,1.2934127,9731288
,,1.0468253,9731288
,,1.0572991,9731289
,,0.937203,9731289
,,0.7558755,9731289
,,0.58421608,9731289
,,0.6318013,9731290
,,0.7800458,9731290
,,0.7711833,9731290
,,0.75668116,9731291
,,0.53265276,9731291
,,0.4633646,9731291
,,0.46175324,9731291
,,0.60838632,9731292
,,0.32151524,9731292
,,0.7083405,9731292
,,0.0,9731292
,,0.4867292,9731293
,,0.24658732,9731293
,,0.27236894,9731293
,,0.11279469,9731294
,,0.28606544,9731294
,,0.49559168,9731294
,,0.77279464,9731294
,,0.474644068,9731295
,,0.4504738,9731295
,,0.6511376,9731295
,,0.9686244,9731296
,,1.2716594,9731296
,,1.1104738,9731296
,,1.3256397,9731296
,,1.4562095,9731297
,,1.2313253,9731297
,,1.5303318,9731297
,,1.81800868,9731297
,,1.85834284,9731298
,,1.9485786,9731298
,,2.0363972,9731298
,,2.1145982,9731299
,,2.2032228,9731299
,,2.1903316,9731299
,,2.3571572,9731299
,,2.4538384,9731300
